Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Stegen_ICR_5_pp1_Nov20_1_01_24960,Stegen_ICR_6_pp1_Nov20_1_01_24954,Stegen_ICR_6_pp2_Nov20_1_01_24949,Stegen_ICR_6_pp3_Nov20_1_01_24963,Stegen_ICR_7_pp1_Nov20_1_01_24969,Stegen_ICR_7_pp2_Nov20_1_01_24970,Stegen_ICR_7_pp3_Nov20_1_01_24952,Stegen_ICR_8_pp1_Nov20_1_01_24966,Stegen_ICR_8_pp2_Nov20_1_01_24959,Stegen_ICR_8_pp3_Nov20_1_01_24947,Stegen_ICR_9_pp1_Nov20_1_01_24951,Stegen_ICR_9_pp2_Nov20_1_01_24946,Stegen_ICR_9_pp3_Nov20_1_01_24955,Stegen_ICR_10_pp1_Nov20_1_01_24948,Stegen_ICR_10_pp2_Nov20_1_01_24965,Stegen_ICR_10_pp3_Nov20_1_01_24950,Stegen_River_at_ICR2p1_Nov20_1_01_24962,Stegen_River_at_ICR2p2_Nov20_1_01_24968,Stegen_River_at_ICR3_Nov20_1_01_24971,Stegen_River_at_ICR6_Nov20_1_01_24958,Stegen_River_at_ICR7_Nov20_1_01_24945,Stegen_River_at_ICR8_Nov20_1_01_24957,Stegen_River_at_ICR9_Nov20_1_01_24956,Stegen_River_at_ICR10_Nov20_1_01_24964,Stegen_ICR_1_pp1_Nov20_1_01_24967,Stegen_ICR_2_pp1_Nov20_1_01_24953,Stegen_ICR_3_pp1_Nov20_1_01_24944,Stegen_ICR_4_pp1_Nov20_1_01_24961
107.208050237921,0,0,0,0,0,0,0,0,,None,108.215326704801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933505.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.224655863972,0,0,0,0,0,0,0,0,,None,108.231932330852,0,0,0,0,0,0,0,0,943818.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.277821797599,0,0,0,0,0,0,0,0,,None,108.285098264479,0,0,0,0,0,0,0,0,0,0,945878.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.340378314498,0,0,0,0,0,0,0,0,,None,108.347654781378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930939.8,0,0,0
107.340687536688,0,0,0,0,0,0,0,0,,None,108.347964003568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042576.7,0,0
107.34156038317,0,0,0,0,0,0,0,0,,None,108.34883685005,0,0,1010317.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935486.7,0,0,0,0,0,0,0,0,0,0,0,0
107.352799246019,0,0,0,0,0,0,0,0,,None,108.360075712899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947027.2
107.381103531709,0,0,0,0,0,0,0,0,,None,108.388379998589,0,0,0,0,0,0,0,0,0,0,1049731.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.422676714811,0,0,0,0,0,0,0,0,,None,108.429953181691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946445.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.434034673405,0,0,0,0,0,0,0,0,,None,108.441311140285,0,0,0,0,0,0,0,935121.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.446519068302,0,0,0,0,0,0,0,0,,None,108.453795535182,0,0,0,0,0,0,1040521.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.456828631496,0,0,0,0,0,0,0,0,,None,108.464105098376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983096.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.475908763076,0,0,0,0,0,0,0,0,,None,108.483185229956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978212.9,0,0,0,0,0,0,0,0,0,0
107.477085284455,0,0,0,0,0,0,0,0,,None,108.484361751335,0,0,0,0,0,0,0,0,0,0,938377.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.519957807548,0,0,0,0,0,0,0,0,,None,108.527234274428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945314.1,0
107.543346071789,0,0,0,0,0,0,0,0,,None,108.550622538669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940884.6,0,0,0,0,0,0,0,0,0,0,0
107.544074975095,0,0,0,0,0,0,0,0,,None,108.551351441975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947049,0,0
107.667159040732,0,0,0,0,0,0,0,0,,None,108.674435507612,0,0,0,1028278.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.707003295644,0,0,0,0,0,0,0,0,,None,108.714279762524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004048.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.739693514445,0,0,0,0,0,0,0,0,,None,108.746969981325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967737.6
107.739999200142,0,0,0,0,0,0,0,0,,None,108.747275667022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932530.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.771420784065,0,0,0,0,0,0,0,0,,None,108.778697250945,0,0,0,0,0,0,0,0,0,0,0,0,0,940377.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.791487734543,0,0,0,0,0,0,0,0,,None,108.798764201423,0,0,0,0,0,0,0,0,0,0,0,0,0,1030084.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
