,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect,NOSC,GFE,AI,AI_Mod,DBE,DBE_O,DBE_AI,ElComposition,bs1_class,bs2_class,bs3_class
568.2215611,0,0,0,0,0,0,0,0,,None,569.2288375,0,-1,NA,NA,NA,NA,NA,NA,567.58707982862,0.412920171379824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.2262232,0,0,0,0,0,0,0,0,,None,569.2334996,0,-1,NA,NA,NA,NA,NA,NA,567.591736722878,0.408263277122387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.226761,0,0,0,0,0,0,0,0,,None,569.2340375,0,-1,NA,NA,NA,NA,NA,NA,567.592273922365,0.407726077634607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.2270667,0,0,0,0,0,0,0,0,,None,569.2343432,0,-1,NA,NA,NA,NA,NA,NA,567.592579281018,0.407420718982053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.2331917,0,0,0,0,0,0,0,0,,None,569.2404682,0,-1,NA,NA,NA,NA,NA,NA,567.598697441788,0.401302558211682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.2475328,0,0,0,0,0,0,0,0,,None,569.2548093,0,-1,NA,NA,NA,NA,NA,NA,567.613022528388,0.386977471612113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.2568672,19,43,16,3,0,0,0,0,CHON,Other,569.2641437,0.331378935,-1,C19H43N3O16,0.842105263157895,2.26315789473684,0.157894736842105,0,NA,567.622346505513,0.377653494486594,-0.105263157894737,63.3,0,0,0,-16,-19,CHNO,Other,Carbohydrate,Other
568.5916172,0,0,0,0,0,0,0,0,,None,569.5988937,0,-1,NA,NA,NA,NA,NA,NA,567.956722720673,0.0432772793270715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.6227962,0,0,0,0,0,0,0,0,,None,569.6300727,0,-1,NA,NA,NA,NA,NA,NA,567.987866905923,0.012133094076944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7038942,0,0,0,0,0,0,0,0,,None,569.7111707,0,-1,NA,NA,NA,NA,NA,NA,568.068874351172,0.931125648828242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7043584,0,0,0,0,0,0,0,0,,None,569.7116349,0,-1,NA,NA,NA,NA,NA,NA,568.069338032842,0.93066196715813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7098388,0,0,0,0,0,0,0,0,,None,569.7171153,0,-1,NA,NA,NA,NA,NA,NA,568.074812313378,0.925187686621825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.710191,0,0,0,0,0,0,0,0,,None,569.7174675,0,-1,NA,NA,NA,NA,NA,NA,568.075164120109,0.924835879891475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.718616,0,0,0,0,0,0,0,0,,None,569.7258925,0,-1,NA,NA,NA,NA,NA,NA,568.083579712678,0.916420287321671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7190973,0,0,0,0,0,0,0,0,,None,569.7263737,0,-1,NA,NA,NA,NA,NA,NA,568.084060475254,0.915939524745568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7195118,0,0,0,0,0,0,0,0,,None,569.7267882,0,-1,NA,NA,NA,NA,NA,NA,568.08447451242,0.915525487579998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7248901,0,0,0,0,0,0,0,0,,None,569.7321665,0,-1,NA,NA,NA,NA,NA,NA,568.089846806962,0.910153193037786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7253306,0,0,0,0,0,0,0,0,,None,569.7326071,0,-1,NA,NA,NA,NA,NA,NA,568.090286815096,0.909713184904035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7256403,0,0,0,0,0,0,0,0,,None,569.7329168,0,-1,NA,NA,NA,NA,NA,NA,568.090596169282,0.909403830717793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7261397,0,0,0,0,0,0,0,0,,None,569.7334162,0,-1,NA,NA,NA,NA,NA,NA,568.091095011648,0.908904988352333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7348164,0,0,0,0,0,0,0,0,,None,569.7420929,0,-1,NA,NA,NA,NA,NA,NA,568.099762023167,0.900237976833068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7354414,0,0,0,0,0,0,0,0,,None,569.7427179,0,-1,NA,NA,NA,NA,NA,NA,568.100386325286,0.899613674713692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7361807,0,0,0,0,0,0,0,0,,None,569.7434572,0,-1,NA,NA,NA,NA,NA,NA,568.101124799777,0.898875200222619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7441361,0,0,0,0,0,0,0,0,,None,569.7514125,0,-1,NA,NA,NA,NA,NA,NA,568.109071316707,0.890928683293396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7466233,0,0,0,0,0,0,0,0,,None,569.7538997,0,-1,NA,NA,NA,NA,NA,NA,568.111555739477,0.888444260523102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7547455,0,0,0,0,0,0,0,0,,None,569.762022,0,-1,NA,NA,NA,NA,NA,NA,568.119668870156,0.880331129844194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7616369,0,0,0,0,0,0,0,0,,None,569.7689133,0,-1,NA,NA,NA,NA,NA,NA,568.126552575157,0.873447424842993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7620009,0,0,0,0,0,0,0,0,,None,569.7692773,0,-1,NA,NA,NA,NA,NA,NA,568.126916168711,0.873083831288682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7625446,0,0,0,0,0,0,0,0,,None,569.7698211,0,-1,NA,NA,NA,NA,NA,NA,568.127459261611,0.872540738388921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7740513,0,0,0,0,0,0,0,0,,None,569.7813278,0,-1,NA,NA,NA,NA,NA,NA,568.138953113127,0.861046886872941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7826388,0,0,0,0,0,0,0,0,,None,569.7899152,0,-1,NA,NA,NA,NA,NA,NA,568.147531024248,0.852468975752117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7831695,0,0,0,0,0,0,0,0,,None,569.7904459,0,-1,NA,NA,NA,NA,NA,NA,568.148061131663,0.851938868336561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.7835319,0,0,0,0,0,0,0,0,,None,569.7908083,0,-1,NA,NA,NA,NA,NA,NA,568.148423127004,0.851576872995565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.827829,0,0,0,0,0,0,0,0,,None,569.8351055,0,-1,NA,NA,NA,NA,NA,NA,568.192670764467,0.807329235533189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568.8943164,0,0,0,0,0,0,0,0,,None,569.9015929,0,-1,NA,NA,NA,NA,NA,NA,568.259083924042,0.740916075958012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569.056383,0,0,0,0,0,0,0,0,,None,570.0636595,0,-1,NA,NA,NA,NA,NA,NA,568.420969559029,0.579030440971337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569.1786507,0,0,0,0,0,0,0,0,,None,570.1859272,0,-1,NA,NA,NA,NA,NA,NA,568.543100733823,0.456899266177402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569.1799335,0,0,0,0,0,0,0,0,,None,570.18721,0,-1,NA,NA,NA,NA,NA,NA,568.544382101437,0.455617898563446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569.2034394,0,0,0,0,0,0,0,0,,None,570.2107159,0,-1,NA,NA,NA,NA,NA,NA,568.567861754539,0.432138245461374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569.2041775,0,0,0,0,0,0,0,0,,None,570.211454,0,-1,NA,NA,NA,NA,NA,NA,568.56859903037,0.431400969630431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569.2049518,0,0,0,0,0,0,0,0,,None,570.2122283,0,-1,NA,NA,NA,NA,NA,NA,568.569372465779,0.430627534220662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569.2188808,0,0,0,0,0,0,0,0,,None,570.2261573,0,-1,NA,NA,NA,NA,NA,NA,568.583285912533,0.416714087466517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569.2194277,0,0,0,0,0,0,0,0,,None,570.2267041,0,-1,NA,NA,NA,NA,NA,NA,568.58383220186,0.416167798140009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
