OTU ID	ICR_10_pp1	ICR_10_pp2	ICR_10_pp3	ICR_4_pp1	ICR_5_pp1	ICR_6_pp1	ICR_6_pp2	ICR_6_pp3	ICR_7_pp1	ICR_7_pp2	ICR_7_pp3	ICR_8_pp1	ICR_8_pp2	ICR_8_pp3	ICR_9_pp2	ICR_9_pp3	River_at_ICR10	River_at_ICR2_1	River_at_ICR2_2	River_at_ICR3	River_at_ICR7	River_at_ICR8	River_at_ICR9	taxonomy
OTU_4547	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	"k__Archaea,p__Ca._Woesearchaeota,c__?,o__?,f__?,g__?,s__?"
OTU_4548	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	1	"k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Gaiella,s__?"
OTU_4549	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	"k__Bacteria,p__Acidobacteria,c__Blastocatellia_(Acidobacteria_group_4),o__Blastocatellales,f__Blastocatellaceae,g__?,s__?"
OTU_455	0	0	0	15	0	2	0	11	1	0	1	0	0	0	0	1	2	7	21	1	1	0	1	"k__Bacteria,p__Actinobacteria,c__Actinobacteria_(class),o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,s__?"
OTU_4550	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria,p__Ca._Omnitrophica_(OP3),c__?,o__?,f__?,g__?,s__?"
OTU_4551	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	"k__Bacteria,p__Armatimonadetes,c__Armatimonadia,o__Armatimonadales,f__Armatimonadaceae,g__Armatimonas,s__?"
OTU_4552	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__SAR324_clade(Marine_group_B),f__?,g__?,s__?"
OTU_4553	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	"k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__?,g__?,s__?"
OTU_4554	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Oligoflexales,f__0319-6G20,g__?,s__?"
OTU_4555	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	"k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Archangiaceae,g__Anaeromyxobacter,s__?"
OTU_4556	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1	3	0	0	3	0	0	0	"k__Bacteria,p__Ca._Tectomicrobia,c__?,o__?,f__?,g__?,s__?"
OTU_4557	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	"k__Archaea,p__Ca._Aenigmarchaeota,c__?,o__?,f__?,g__?,s__?"
OTU_4558	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	"k__Bacteria,p__Acidobacteria,c__Acidobacteriia_(Acidobacteria_group_1),o__Acidobacteriales,f__Acidobacteriaceae,g__?,s__?"
OTU_4559	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	"k__Bacteria,p__Ca._Dependentiae_(TM6),c__?,o__?,f__?,g__?,s__?"
OTU_456	0	6	0	0	8	0	0	0	0	0	0	0	0	0	0	1	4	0	0	11	2	0	0	"k__Bacteria,p__Bacteroidetes,c__Saprospiria,o__Saprospirales,f__?,g__?,s__?"
OTU_4560	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	"k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__?,s__?"
OTU_4561	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"k__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__SJA-28,g__?,s__?"
OTU_4562	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	"k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__?,g__?,s__?"
OTU_4563	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__?,s__?"
OTU_4564	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	"k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Simkaniaceae,g__?,s__?"
OTU_4565	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	"k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Phaselicystidaceae,g__Phaselicystis,s__?"
OTU_4566	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	"k__?,p__?,c__?,o__?,f__?,g__?,s__?"
OTU_4567	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	"k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes_(class),o__Gemmatimonadales,f__Gemmatimonadaceae,g__?,s__?"
OTU_4568	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	"k__Archaea,p__Ca._Woesearchaeota,c__?,o__?,f__?,g__?,s__?"
OTU_4569	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	3	0	0	"k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Oligoflexales,f__0319-6G20,g__?,s__?"
OTU_457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	8	22	0	2	"k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Planctomycetaceae,g__?,s__?"
OTU_4570	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	"k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__?,f__?,g__?,s__?"
